VS,1,7,1,95408,59, b,1,n,norway,flat,10,c,81097,6759,3380,6623,4528,rain,y,y,n
S,2,8,5,210949,38, c,2,n,sweden,flat,10,c,185636,15470,15470,12531,15006,fine,n,y,y
VS,3,19,0,74209,27, ccc,1,n,finland,flat,10,b,63078,5257,4206,3995,4942,l-snow,y,n,n
S,4,19,17,242394,98, ccc,2,n,sweden,flat,10,b,155133,12928,12928,8274,8016,fine,y,y,y
VS,5,13,13,90391,66, c,1,n,uk,pitched,10,c,84064,7006,5605,4974,6585,l-rain,y,y,n
S,6,10,7,118347,40, ccc,1,n,denmark,flat,10,a,65091,5425,4340,4286,3580,l-snow,n,n,n
VS,7,18,8,71044,16, c,1,n,finland,pitched,10,b,44758,3730,2984,2910,3432,l-snow,n,y,n
S,8,14,13,206554,5, b,2,n,sweden,pitched,10,a,173506,14459,14459,9399,13881,fine,n,y,y
VS,9,7,1,79823,47, dd,1,n,finland,pitched,10,b,50289,4191,3353,3982,2808,l-snow,n,n,n
S,10,9,1,204545,52, c,2,n,norway,flat,10,c,188182,15682,7841,15212,10664,rain,y,n,n
VS,11,6,6,87382,34, dd,1,n,finland,flat,10,b,62042,5171,4137,3413,4188,l-snow,n,y,n
S,12,9,1,135558,44, b,1,n,uk,pitched,10,b,75913,6327,5061,5061,4619,l-rain,n,y,n
VS,13,11,4,78210,62, b,1,n,finland,flat,10,c,62568,5214,4172,4120,5110,l-snow,y,y,n
S,14,10,3,185346,68, ddd,1,n,finland,flat,10,b,94527,7878,6302,5751,7641,l-snow,y,y,n
VS,15,12,10,77995,75, ddd,1,n,norway,pitched,10,c,73316,6110,3055,5438,6049,rain,y,y,n
S,16,17,5,220418,27, b,2,n,uk,pitched,10,b,121230,10103,8082,8487,6567,l-rain,y,y,n
VS,17,11,5,54165,26, b,1,n,sweden,pitched,10,c,53624,4469,4469,3575,4469,fine,y,y,y
S,18,8,8,167961,61, cc,1,n,uk,flat,10,c,137729,11478,9182,11248,9986,l-rain,y,y,n
